Time,ID,Spreader,Audience,SP,Originalsp,AudienceKnownRumours,rumour target,sentiment,TotalRumours
05/03/2021 02:17:41:026776,65,Claudia Tracy,Marilyn Ho,7,66,17,John Crockett,5,130
05/03/2021 02:17:41:830912,66,Austin Betancourt,Marilyn Ho,0,347,18,Alison Holbrook,4,132
05/03/2021 02:17:42:486356,67,Virgil Hernandez,Keith Hamel,10,59,5,Elizabeth Weatherford,18,134
05/03/2021 02:17:43:267082,68,Elizabeth Weatherford,Keith Hamel,7,67,6,Austin Betancourt,88,136
05/03/2021 02:17:43:665163,69,Claudia Tracy,Austin Betancourt,6,73,35,Meredith Muir,92,138
05/03/2021 02:17:45:139374,70,Virgil Hernandez,Elizabeth Weatherford,7,69,6,Meredith Muir,14,140
05/03/2021 02:17:45:816458,71,Austin Betancourt,Claudia Tracy,1,347,13,Keith Hamel,56,142
05/03/2021 02:17:47:845810,72,Virgil Hernandez,Keith Hamel,5,76,7,Eugene Sanders,37,144
05/03/2021 02:17:48:536198,73,Austin Betancourt,Marilyn Ho,4,348,19,Alfonso Flemming,14,146
05/03/2021 02:17:48:666938,74,Claudia Tracy,Marilyn Ho,11,79,20,Austin Betancourt,55,148
05/03/2021 02:17:49:483266,75,John Crockett,Michael Kerr,5,309,9,Michael Kerr,84,150
